File:        06perms.txt
Description: CSV file of upload permission to the CPAN per namespace
    best-permission is one of "m" for "modulelist", "f" for
    "first-come", "c" for "co-maint"
ACME::ESP,TYEMQ,f
ACME::ESP::Scanner,TYEMQ,f
ACME::Error,CWEST,f
ACME::Error::31337,CWEST,f
ACME::Error::Coy,CWEST,f
ACME::Error::HTML,CWEST,f
ACME::Error::IgpayAtinlay,CWEST,f
ACME::Error::SHOUT,CWEST,f
ACME::Error::Translate,CWEST,f
ACME::KeyboardMarathon,BENNIE,f
ACME::MBHall,MBHALL,f
ACME::MSDN::SPUtility,BLUET,f
ACME::PIA::Export,CHRWIN,f
ACME::PM::Voronezh,SANTERI,f
ACME::QuoteDB,DVWRIGHT,f
ACME::QuoteDB::DB::Attribution,DVWRIGHT,f
ACME::QuoteDB::DB::Category,DVWRIGHT,f
ACME::QuoteDB::DB::DBI,DVWRIGHT,f
ACME::QuoteDB::DB::Quote,DVWRIGHT,f
ACME::QuoteDB::DB::QuoteCatg,DVWRIGHT,f
ACME::QuoteDB::LoadDB,DVWRIGHT,f
ACME::Require::Require,RLB,f
ACME::YAPC::NA::2012,JARICH,f
ACME::ltharris,LTHARRIS,f
ADSL_Coverage::SOAP::Webservice::HasULLSimple,JCOP,f
AE,MLEHMANN,f
AE::CS,BLUET,f
AE::Log::COLLECT,MLEHMANN,f
AE::Log::FILTER,MLEHMANN,f
AE::Log::LOG,MLEHMANN,f
AEAE,JETEVE,f
AEAE::AsyncCGIPage,JETEVE,f
AEAE::Command,JETEVE,f
AEAE::CommandErroneous,JETEVE,f
AEAE::CommandExample,JETEVE,f
AEAE::Service,JETEVE,f
AEDesc,CNANDOR,f
AEKeyDesc,CNANDOR,f
AEStream,CNANDOR,f
AESubDesc,CNANDOR,f
AFS,NOG,m
AFS::ACL,NOG,f
AFS::BOS,NOG,f
AFS::CM,NOG,f
AFS::Cell,NOG,f
AFS::Command,ISAACSON,m
AFS::Command::BOS,WPMOORE,f
AFS::Command::Base,WPMOORE,f
AFS::Command::FS,WPMOORE,f
AFS::Command::PTS,WPMOORE,f
AFS::Command::VOS,WPMOORE,f
AFS::FS,NOG,f
AFS::KAS,NOG,f
AFS::KTC_EKEY,NOG,f
AFS::KTC_PRINCIPAL,NOG,f
AFS::KTC_TOKEN,NOG,f
AFS::Monitor,ALFW,c
AFS::Monitor,SJENKINS,f
AFS::Object,WPMOORE,f
AFS::Object::ACL,WPMOORE,f
AFS::Object::BosServer,WPMOORE,f
AFS::Object::CacheManager,WPMOORE,f
AFS::Object::Cell,WPMOORE,f
AFS::Object::FileServer,WPMOORE,f
AFS::Object::Group,WPMOORE,f
AFS::Object::Instance,WPMOORE,f
AFS::Object::PTServer,WPMOORE,f
AFS::Object::Partition,WPMOORE,f
AFS::Object::Path,WPMOORE,f
AFS::Object::Principal,WPMOORE,f
AFS::Object::Server,WPMOORE,f
AFS::Object::Transaction,WPMOORE,f
AFS::Object::User,WPMOORE,f
AFS::Object::VLDB,WPMOORE,f
AFS::Object::VLDBEntry,WPMOORE,f
AFS::Object::VLDBSite,WPMOORE,f
AFS::Object::VolServer,WPMOORE,f
AFS::Object::Volume,WPMOORE,f
AFS::Object::VolumeHeader,WPMOORE,f
AFS::PTS,NOG,f
AFS::PTS_SERVER,NOG,f
AFS::Utils,NOG,f
AFS::VLDB,NOG,f
AFS::VOS,NOG,f
AGAVA::AGE::Framework::Library::XML::XPath::Cached,PLCGI,f
AI::ANN,DCOLLINS,f
AI::ANN::Evolver,DCOLLINS,f
AI::ANN::Neuron,DCOLLINS,f
AI::CBR,OBRADOVIC,f
AI::CBR::Case,OBRADOVIC,c
AI::CBR::Case::Compound,OBRADOVIC,c
AI::CBR::Retrieval,OBRADOVIC,c
AI::CBR::Sim,OBRADOVIC,c
AI::CRM114,BJOERN,f
AI::Calibrate,TOMFA,f
AI::Categorize,KWILLIAMS,m
AI::Categorize::Evaluate,KWILLIAMS,f
AI::Categorize::Map,KWILLIAMS,f
AI::Categorize::NaiveBayes,KWILLIAMS,f
AI::Categorize::Result,KWILLIAMS,f
AI::Categorize::VectorBased,KWILLIAMS,f
AI::Categorize::kNN,KWILLIAMS,f
AI::Categorizer,KWILLIAMS,f
AI::Categorizer::Category,KWILLIAMS,f
AI::Categorizer::Collection,KWILLIAMS,f
AI::Categorizer::Collection::DBI,KWILLIAMS,f
AI::Categorizer::Collection::Files,KWILLIAMS,f
AI::Categorizer::Collection::InMemory,KWILLIAMS,f
AI::Categorizer::Collection::SingleFile,KWILLIAMS,f
AI::Categorizer::Document,KWILLIAMS,f
AI::Categorizer::Document::SMART,KWILLIAMS,f
AI::Categorizer::Document::Text,KWILLIAMS,f
AI::Categorizer::Document::XML,KWILLIAMS,f
AI::Categorizer::Document::XML::Handler,KWILLIAMS,f
AI::Categorizer::Experiment,KWILLIAMS,f
AI::Categorizer::FeatureSelector,KWILLIAMS,f
AI::Categorizer::FeatureSelector::CategorySelector,KWILLIAMS,f
AI::Categorizer::FeatureSelector::ChiSquare,KWILLIAMS,f
AI::Categorizer::FeatureSelector::DocFrequency,KWILLIAMS,f
AI::Categorizer::FeatureVector,KWILLIAMS,f
